Année	Série	Lieu	Session	Sujet
1996	ES	AMÉRIQUE DU NORD	REMPLACEMENT	Qui est artiste ?
1996	ES	AMÉRIQUE DU NORD	REMPLACEMENT	Peut-on traiter des faits humains comme des choses sans pour autant considérer l'homme comme une chose ?
1996	ES	AMÉRIQUE DU NORD + LIBAN	NORMALE	Peut-on tout dire ?
1996	ES	AMÉRIQUE DU NORD + LIBAN	NORMALE	Au nom de quoi peut-on reprocher à autrui d'être égoïste ?
1996	L	AMÉRIQUE DU NORD + LIBAN	NORMALE	Le savoir est-il une forme de pouvoir ?
1996	L	AMÉRIQUE DU NORD + LIBAN	NORMALE	Quelle réalité peut-on attribuer au temps ?
1996	S	AMÉRIQUE DU NORD + LIBAN	NORMALE	L'imagination a-t-elle une place dans la connaissance scientifique ?
1996	S	AMÉRIQUE DU NORD + LIBAN	NORMALE	Ne respectons-nous autrui qu'afin qu'il nous respecte ?
1996	ES	AMÉRIQUE DU SUD	NORMALE	Nos rapports avec autrui sont-ils nécessairement conflictuels ?
1996	ES	AMÉRIQUE DU SUD	NORMALE	Qu'est-ce que prouver ?
1996	L	AMÉRIQUE DU SUD	NORMALE	Pour juger, faut-il seulement apprendre à raisonner ?
1996	L	AMÉRIQUE DU SUD	NORMALE	Sans métaphysique, l'homme peut-il comprendre son existence ?
1996	S	AMÉRIQUE DU SUD	NORMALE	Faire son devoir sans être heureux, est-ce toute la morale ?
1996	S	AMÉRIQUE DU SUD	NORMALE	L'esprit reste-t-il libre quand il se soumet au vrai ?
1996	ES	ANTILLES	NORMALE	Sommes-nous nécessairement les victimes du temps ?
1996	ES	ANTILLES	NORMALE	A-t-on le droit de se taire quand on connaît la vérité ?
1996	L	ANTILLES	NORMALE	Une société juste est-ce une société sans conflits ?
1996	L	ANTILLES	NORMALE	La raison peut-elle rendre raison de tout ?
1996	S	ANTILLES	NORMALE	Peut-on avoir des exigences à l'égard d'autrui ?
1996	S	ANTILLES	NORMALE	Faut-il chercher la vérité à tout prix ?
1996	TECHN.	ANTILLES	NORMALE	Est-ce raisonnable d'avoir peur du progrès technique ?
1996	TECHN.	ANTILLES	NORMALE	La conscience est-elle source de liberté ou de contrainte ?
1996	ES	ANTILLES	REMPLACEMENT	Les passions font-elles vivre ou font-elles mourir ?
1996	ES	ANTILLES	REMPLACEMENT	La vérité peut-elle être relative ?
1996	L	ANTILLES	REMPLACEMENT	L'amour de l'humanité nous est-il naturel ?
1996	L	ANTILLES	REMPLACEMENT	Le progrès historique est-il un mythe ou une réalité ?
1996	S	ANTILLES	REMPLACEMENT	Est-ce pour prévenir la récidive que la justice punit ?
1996	S	ANTILLES	REMPLACEMENT	Pouvons-nous nous passer de l'art ?
1996	TECHN.	ANTILLES	REMPLACEMENT	Être raisonnable, est-ce adopter une position modérée ?
1996	TECHN.	ANTILLES	REMPLACEMENT	Doit-on toujours chercher à savoir la vérité ?
1996	ES	ÉTRANGER GROUPE 1	NORMALE	Peut-on ne pas être soi-même ?
1996	ES	ÉTRANGER GROUPE 1	NORMALE	L'étude de l'histoire nous conduit-elle à désespérer de l'homme ?
1996	L	ÉTRANGER GROUPE 1	NORMALE	Le droit peut-il garantir la liberté ?
1996	L	ÉTRANGER GROUPE 1	NORMALE	Accomplir tous ses désirs, est-ce une bonne règle de vie ?
1996	S	ÉTRANGER GROUPE 1	NORMALE	Peut-on apprendre à penser ?
1996	S	ÉTRANGER GROUPE 1	NORMALE	Le bonheur est-il le but de la politique ?
1996	TECHN.	ÉTRANGER GROUPE 1	NORMALE	Avoir bonne conscience, est-ce un signe suffisant de moralité ?
1996	TECHN.	ÉTRANGER GROUPE 1	NORMALE	L'homme peut-il toujours être raisonnable ?
1996	L	ÉTRANGER GROUPE 1	REMPLACEMENT	L'usage de la parole doit-il être soumis à des règles ?
1996	L	ÉTRANGER GROUPE 1	REMPLACEMENT	L'histoire est-elle le règne du hasard ?
