annee,serie,lieu,session,auteur
1996,ES,AMÉRIQUE DU NORD,REMPLACEMENT,"Les politiques grecs qui vivaient dans le gouvernement populaire ne reconnaissaient d'autre force qui pût le soutenir que celle de la vertu. Ceux d'aujourd'hui ne nous parlent que de manufactures, de commerce, de finances, de richesses, et de luxe même.
Lorsque cette vertu cesse, l'ambition entre dans les coeurs qui peuvent la recevoir, et l'avarice entre dans tous. Les désirs changent d'objets ; ce qu'on aimait on ne l'aime plus ; on était libre avec les lois, on veut être libre contre elles ; chaque citoyen est comme un esclave échappé de la maison de son maître ; ce qui était maxime, on l'appelle rigueur ; ce qui était règle, on l'appelle gêne ; ce qui était attention, on l'appelle crainte.
C'est la frugalité qui est l'avarice, et non pas le désir d'avoir.
Autrefois le bien des particuliers faisait le trésor public ; mais pour lors le trésor public devient le patrimoine des particuliers.
La république est une dépouille ; et sa force n'est plus que le pouvoir de quelques citoyens et la licence de tous.


MONTESQUIEU"
1996,ES,AMÉRIQUE DU NORD + LIBAN,NORMALE,"Demander, dans un État libre, des gens hardis dans la guerre et timides dans la paix, c'est vouloir des choses impossibles, et, pour règle générale, toutes les fois qu'on verra tout le monde tranquille dans un État qui se donne le nom de république, on peut être assuré que la liberté n'y est pas.
Ce qu'on appelle union dans un corps politique est une chose très équivoque : la vraie est une union d'harmonie, qui fait que toutes les parties, quelque opposées qu'elles nous paraissent, concourent au bien général de la Société, comme des dissonances dans la musique concourent à l'accord total. Il peut y avoir de l'union dans un État où l'on ne croit voir que du trouble, c'est-à-dire une harmonie d'où résulte le bonheur, qui seul est la vraie paix. Il en est comme des parties de cet Univers, éternellement liées par l'action des unes et la réaction des autres.
Mais, dans l'accord du despotisme asiatique, c'est-à-dire de tout gouvernement qui n'est pas modéré, il y a toujours une division réelle : le laboureur, l'homme de guerre, le négociant, le magistrat, le noble, ne sont joints que parce que les uns oppriment les autres sans résistance, et, si l'on y voit de l'union, ce ne sont pas des citoyens qui sont unis, mais des corps morts, ensevelis les uns auprès des autres.


MONTESQUIEU"
1996,L,AMÉRIQUE DU NORD + LIBAN,NORMALE,"Mettez-vous à la place d'autrui, et vous serez dans le vrai point de vue pour juger ce qui est juste ou non.
On a fait quelques objections contre cette grande règle, mais elles viennent de ce qu'on ne l'applique point partout. On objecte par exemple qu'un criminel peut prétendre, en vertu de cette maxime, d'être pardonné par le juge souverain, parce que le juge souhaiterait la même chose, s'il était en pareille posture. La réponse est aisée. Il faut que le juge ne se mette pas seulement dans la place du criminel, mais encore dans celle des autres qui sont intéressés que le crime soit puni (...). Il en est de même de cette objection que la justice distributive demande une inégalité entre les hommes, que dans une société on doit partager le gain à proportion de ce que chacun a conféré (1) et qu'on doit avoir égard au mérite et au démérite. La réponse est encore aisée. Mettez-vous à la place de tous et supposez qu'ils soient bien informés et bien éclairés. Vous recueillerez de leurs suffrages cette conclusion qu'ils jugent convenable à leur intérêt qu'on distingue les uns des autres. Par exemple, si dans une société de commerce le gain n'était point partagé à proportion, l'on y entrerait point ou l'on en sortirait bientôt, ce qui est contre l'intérêt de toute la société.


LEIBNIZ


(1) a conféré : a mis en commun"
1996,S,AMÉRIQUE DU NORD + LIBAN,NORMALE,"On a vu des fanatiques en tous les temps, et sans doute honorables à leurs propres yeux. Ces crimes (1) sont la suite d'une idée, religion, justice, liberté. Il y a un fond d'estime, et même quelquefois une secrète admiration, pour des hommes qui mettent au jeu leur propre vie, et sans espérer aucun avantage ; car nous ne sommes points fiers de faire si peu et de risquer si peu pour ce que nous croyons juste ou vrai. Certes je découvre ici des vertus rares, qui veulent respect, et une partie au moins de la volonté. Mais c'est à la pensée qu'il faut regarder. Cette pensée raidie, qui se limite, qui ne voit qu'un côté, qui ne comprend point la pensée des autres, ce n'est point la pensée Il y a quelque chose de mécanique dans une pensée fanatique, car elle revient toujours par les mêmes chemins. Elle ne cherche plus, elle n'invente plus. Le dogmatisme est comme un délire récitant. Il y manque cette pointe de diamant, le doute, qui creuse toujours. Ces pensées fanatiques gouvernent admirablement les peurs et les désirs, mais elles ne se gouvernent pas elles-mêmes. Elles ne cherchent pas ces vues de plusieurs points, ces perspectives sur l'adversaire, enfin cette libre réflexion qui ouvre les chemins de persuader, et qui détourne en même temps de forcer. Bref il y a un emportement de pensée, et une passion de penser qui ressemble aux autres passions.


ALAIN


(1) Le contexte indique qu'il s'agit des crimes des fanatiques."
1996,ES,AMÉRIQUE DU SUD,NORMALE,"Les sujets doivent exécuter les ordres reçus et ne reconnaître d'autre droit que celui établi par les proclamations de la souveraine Puissance (1). Peut-être va-t-on prétendre qu'ainsi nous faisons des sujets des esclaves, car une opinion vulgairement répandue nomme esclave celui qui agit sur l'ordre d'un autre, et homme libre celui qui se conduit comme il le veut. Cette manière de voir n'est pas tout à fait conforme à la vérité. En fait, l'individu entraîné par une concupiscence (2) personnelle au point de ne plus rien voir ni faire de ce qu'exige son intérêt authentique, est soumis au pire des esclavages.
Au contraire, on devra proclamer libre l'individu qui choisit volontairement de guider sa vie sur la raison. Quant à la conduite déclenchée par un commandement, il faut considérer avant tout, à cet égard, la signification particulière de l'action. A supposer que la fin de l'action serve l'intérêt non de l'agent, mais de celui qui commande l'action, celui qui l'accomplit n'est en effet qu'un esclave, hors d'état de réaliser son intérêt propre. Toutefois dans toute libre République et dans tout État où n'est point pris pour loi suprême le salut de la personne qui donne les ordres, mais celui du peuple entier, l'individu docile à la souveraine Puissance ne doit pas être qualifié d'esclave hors d'état de réaliser son intérêt propre.


SPINOZA


(1) L'autorité politique
(2) Le désir"
1996,L,AMÉRIQUE DU SUD,NORMALE,"Il n'y a de pensée que dans un homme libre, dans un homme qui n'a rien promis, qui se retire, qui se fait solitaire, qui ne s'occupe point de plaire ni de déplaire. L'exécutant n'est point libre ; le chef n'est point libre. Cette folle entreprise de l'union les occupe tous deux. Laisser ce qui divise, choisir ce qui rassemble, ce n'est point penser. Ou plutôt c'est penser à s'unir et à rester unis ; ce n'est rien penser d'autre. La loi de la puissance est une loi de fer. Toute délibération de puissance est sur la puissance, non sur ce qu'on fera. Ce qu'on en fera ? Cela est ajourné, parce que cela diviserait. La puissance, sur le seul pressentiment d'une pensée, frémit toute et se sent défaite. Les pensées des autres, quelles qu'elles soient, voilà les ennemis du chef, mais ses propres pensées ne lui sont pas moins ennemies. Dès qu'il pense, il se divise ; il se fait juge de lui même. Penser, même tout seul, c'est donner audience, et c'est même donner force aux idées de n'importe qui. Lèse-majesté. Toute vie politique va à devenir une vie militaire, si on la laisse aller.
Petit ou grand parti, petit journal ou grand journal, ligne ou nation, église ou association, tous ces êtres collectifs perdent l'esprit pour chercher l'union ; un corps fait d'une multitude d'hommes n'a jamais qu'une toute petite tête, assez occupée d'être la tête. Un orateur quelquefois s'offre aux contradicteurs ; mais c'est qu'alors il croit qu'il triomphera. L'idée qu'il pourrait être battu, et, encore mieux, content d'être battu, ne lui viendra jamais.


ALAIN"
1996,S,AMÉRIQUE DU SUD,NORMALE,"Comment l'avenir diminue-t-il ? Comment s'épuise-t-il, lui qui n'est pas encore ? Et comment le passé s'accroît-il, lui qui n'est plus, si ce n'est parce que dans l'esprit qui a opéré ainsi, il y a ces trois actions : l'attente, l'attention, le souvenir. Le contenu de l'attente passe par l'attention et devient souvenir. L'avenir n'est pas encore, qui le nie ? Mais il y a déjà dans l'esprit l'attente de l'avenir. Et le passé n'est plus rien, qui le nie ? Mais il y a encore dans l'esprit le souvenir du passé. Et le présent, privé d'étendue, n'est qu'un point fugitif, qui le nie ? Mais elle dure pourtant, l'attention à travers laquelle ce qui advient s'achemine à sa disparition. Ce n'est donc pas l'avenir qui est long, lui qui n'existe pas, mais un long avenir, c'est une longue attente de l'avenir, et il n'y a pas plus de long passé, un long passé, c'est un long souvenir du passé.


AUGUSTIN"
1996,ES,ANTILLES,NORMALE,"La liberté individuelle peut et même doit être accordée à tous par la communauté publique. Elle ne met en péril ni la paix intérieure, ni le droit dont dispose la souveraine Puissance ; au contraire, elle ne saurait être supprimée sans mettre en péril la paix intérieure et nuire considérablement à la communauté entière. Pour démontrer ma thèse, je pars du droit de nature en l'individu. Ce droit de nature ne connaît d'autre limite que le désir et la puissance de chacun ; nul, suivant le droit de nature, n'est obligé vivre comme il plaît à un autre, mais chacun assure, en personne, la garantie de sa liberté. Je montre ensuite que nul n'aliène effectivement ce droit, à moins de transférer à un autre sa puissance de se défendre. Par conséquent, une personne à qui tous les autres hommes auraient transféré, en même temps que leur puissance de se défendre, leur droit de vivre à leur gré, détiendrait absolument le droit de nature de tous. Autrement dit, les personnes, disposant de l'autorité souveraine en leurs pays respectifs, jouissent du droit d'accomplir tout ce qui est en leur pouvoir. Elles seules, désormais, sont responsables de l'exercice du droit, comme de la liberté de qui que ce soit, et leur vouloir règle la conduite de tous les particuliers. Néanmoins, nul ne pouvant renoncer au pouvoir de se défendre au point qu'il cesse d'être un homme, j'en déduis que nul ne saurait perdre la totalité de son droit de nature.


SPINOZA"
1996,L,ANTILLES,NORMALE,"Il arrive qu'un asservissement total de l'être aimé tue l'amour de l'amant. Le but est dépassé : l'amant se retrouve seul si l'aimé s'est transformé en automate. Ainsi l'amant ne désire-t-il pas posséder l'aimé comme on possède une chose : il réclame un type spécial d'appropriation. Il veut posséder une liberté comme liberté.
Mais, d'autre part, il ne saurait se satisfaire de cette forme éminente de la liberté qu'est l'engagement libre et volontaire. Qui se contenterait d'un amour qui se donnerait comme pure fidélité à la foi jurée ? Qui donc accepterait de s'entendre dire : ""Je vous aime parce que je me suis librement engagé à vous aimer et que je ne veux pas me dédire ; je vous aime par fidélité à moi-même ?"" Ainsi l'amant demande le serment et s'irrite du serment. Il veut être aimé par une liberté et réclame que cette liberté comme liberté ne soit plus libre. Il veut à la fois que la liberté de l'Autre se détermine elle-même à devenir amour - et cela, non point seulement au commencement de l'aventure mais à chaque instant - et, à la fois, que cette liberté soit captivée par elle-même, qu'elle se retourne sur elle-même, comme dans la folie, comme dans le rêve, pour vouloir sa captivité. Et cette captivité doit être démission libre et enchaînée à la fois entre nos mains. Ce n'est pas le déterminisme passionnel que nous désirons chez autrui, dans l'amour, ni une liberté hors d'atteinte : mais c'est une liberté qui joue le déterminisme passionnel et qui se prend à son jeu.


SARTRE"
1996,S,ANTILLES,NORMALE,"On a beau vouloir confondre l'indépendance et la liberté, ces deux choses sont si différentes que même elles s'excluent mutuellement. Quand chacun fait ce qu'il lui plaît, on fait souvent ce qui déplaît à d'autres, et cela ne s'appelle pas un État libre. La liberté consiste moins à faire sa volonté qu'à n'être pas soumis à celle d'autrui ; elle consiste encore à ne pas soumettre la volonté d'autrui à la nôtre. Quiconque est maître ne peut être libre, et régner c'est obéir. (...)
Dans la liberté commune nul n'a le droit de faire ce que la liberté d'un autre lui interdit, et la vraie liberté n'est jamais destructive d'elle-même. Ainsi la liberté sans la justice est une véritable contradiction ; car comme qu'on s'y prenne tout gêne dans l'exécution d'une volonté désordonnée.
Il n'y a donc point de liberté sans lois, ni où quelqu'un est au-dessus des lois : dans l'état même de nature l'homme n'est libre qu'à la faveur de la loi naturelle qui commande à tous. Un peuple libre obéit, mais il ne sert pas ; il a des chefs et non pas des maîtres, il obéit aux lois, mais n'obéit pas aux hommes.


ROUSSEAU"
